12,13,14,15,16,17,18,19,20
13,14,15,16,17,18,19,20,21
14,15,16,17,18,19,20,21,22
15,16,17,18,19,20,21,22,23
16,17,18,19,20,21,22,23,24
17,18,19,20,21,22,23,24,25
18,19,20,21,22,23,24,25,26
19,20,21,22,23,24,25,26,27
20,21,22,23,24,25,26,27,28
21,22,23,24,25,26,27,28,29
22,23,24,25,26,27,28,29,30
23,24,25,26,27,28,29,30,31
24,25,26,27,28,29,30,31,32
25,26,27,28,29,30,31,32,33
26,27,28,29,30,31,32,33,34
27,28,29,30,31,32,33,34,35
28,29,30,31,32,33,34,35,36
29,30,31,32,33,34,35,36,37
30,31,32,33,34,35,36,37,38
31,32,33,34,35,36,37,38,39
32,33,34,35,36,37,38,39,40
